onset	duration	trial_type	identifier	response
4.000089	9.969104	experimental_trial	46.mov	n/a
18.00037	9.972175	experimental_trial	33.mov	n/a
30.00066	9.972571	experimental_trial	4.mov	n/a
42.00084	9.968466	experimental_trial	11.mov	n/a
54.00111	9.972726	experimental_trial	41.mov	n/a
68.00137	9.968591	experimental_trial	6.mov	n/a
80.00172	9.96594	experimental_trial	40.mov	n/a
94.00201	9.973214	experimental_trial	27.mov	n/a
106.0023	9.967978	experimental_trial	12.mov	n/a
118.0026	9.970298	experimental_trial	37.mov	n/a
130.0029	9.972643	attention_check	a3.mov	Friendly
148.0285	9.971983	experimental_trial	16.mov	n/a
160.0288	9.968745	experimental_trial	14.mov	n/a
172.0291	9.973482	experimental_trial	13.mov	n/a
186.0295	9.969259	experimental_trial	32.mov	n/a
198.0297	9.969074	experimental_trial	34.mov	n/a
210.03	9.97077	experimental_trial	26.mov	n/a
222.0303	9.968171	experimental_trial	43.mov	n/a
234.0306	9.965878	attention_check	a1.mov	Adversarial
250.0636	9.980693	experimental_trial	39.mov	n/a
262.0638	9.967237	experimental_trial	3.mov	n/a
274.0641	9.970328	attention_check	a2.mov	Adversarial
290.0885	9.971556	experimental_trial	22.mov	n/a
302.0888	9.9699	experimental_trial	30.mov	n/a
314.089	9.966261	experimental_trial	36.mov	n/a
326.0892	9.966066	experimental_trial	10.mov	n/a
338.0895	9.971951	experimental_trial	47.mov	n/a
350.0898	9.970366	experimental_trial	28.mov	n/a
